2025-08-19 14:15:17.8986 | DEBUG | Trd:36 | Hangfire.Server.Worker | Background process 'Worker #702a75d6' started. | 
2025-08-19 14:15:17.9128 | DEBUG | Trd:37 | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. | 
2025-08-19 14:15:17.9128 | DEBUG | Trd:38 | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. | 
2025-08-19 14:15:27.4601 | DEBUG | Trd:14 | Hangfire.Server.ServerWatchdog | Background process 'ServerWatchdog' stopped. | 
2025-08-19 14:15:27.4601 | DEBUG | Trd:13 | Hangfire.Server.ServerHeartbeat | Background process 'ServerHeartbeat' stopped. | 
2025-08-19 14:15:27.4601 | DEBUG | Trd:15 | Hangfire.SqlServer.ExpirationManager | Background process 'Hangfire.SqlServer.ExpirationManager' stopped. | 
2025-08-19 14:15:27.4701 | DEBUG | Trd:16 | Hangfire.SqlServer.CountersAggregator | Background process 'Hangfire.SqlServer.CountersAggregator' stopped. | 
2025-08-19 14:15:27.5313 | DEBUG | Trd:37 | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' stopped. | 
2025-08-19 14:15:27.7243 | TRACE | Trd:17 | Hangfire.Server.Worker | Background process 'Worker #5f96bd8a' was stopped due to a shutdown request. | 
2025-08-19 14:15:27.7243 | TRACE | Trd:21 | Hangfire.Server.Worker | Background process 'Worker #4c7cbcbd' was stopped due to a shutdown request. | 
2025-08-19 14:15:27.7243 | TRACE | Trd:18 | Hangfire.Server.Worker | Background process 'Worker #8a5df638' was stopped due to a shutdown request. | 
2025-08-19 14:15:27.7243 | DEBUG | Trd:17 | Hangfire.Server.Worker | Background process 'Worker #5f96bd8a' stopped. | 
2025-08-19 14:15:27.7243 | DEBUG | Trd:18 | Hangfire.Server.Worker | Background process 'Worker #8a5df638' stopped. | 
2025-08-19 14:15:27.7243 | DEBUG | Trd:21 | Hangfire.Server.Worker | Background process 'Worker #4c7cbcbd' stopped. | 
2025-08-19 14:15:27.9854 | TRACE | Trd:24 | Hangfire.Server.Worker | Background process 'Worker #c645a94d' was stopped due to a shutdown request. | 
2025-08-19 14:15:27.9854 | DEBUG | Trd:24 | Hangfire.Server.Worker | Background process 'Worker #c645a94d' stopped. | 
2025-08-19 14:15:28.0160 | TRACE | Trd:23 | Hangfire.Server.Worker | Background process 'Worker #5c3effcc' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.0160 | DEBUG | Trd:23 | Hangfire.Server.Worker | Background process 'Worker #5c3effcc' stopped. | 
2025-08-19 14:15:28.0908 | TRACE | Trd:20 | Hangfire.Server.Worker | Background process 'Worker #d297749a' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.0908 | TRACE | Trd:33 | Hangfire.Server.Worker | Background process 'Worker #156ae197' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.0934 | DEBUG | Trd:33 | Hangfire.Server.Worker | Background process 'Worker #156ae197' stopped. | 
2025-08-19 14:15:28.0908 | TRACE | Trd:31 | Hangfire.Server.Worker | Background process 'Worker #6adda194' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.0934 | DEBUG | Trd:31 | Hangfire.Server.Worker | Background process 'Worker #6adda194' stopped. | 
2025-08-19 14:15:28.0908 | TRACE | Trd:34 | Hangfire.Server.Worker | Background process 'Worker #3829b8c5' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.0934 | DEBUG | Trd:34 | Hangfire.Server.Worker | Background process 'Worker #3829b8c5' stopped. | 
2025-08-19 14:15:28.0934 | TRACE | Trd:38 | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.0934 | DEBUG | Trd:38 | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' stopped. | 
2025-08-19 14:15:28.0908 | TRACE | Trd:30 | Hangfire.Server.Worker | Background process 'Worker #2eef5dba' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.0934 | DEBUG | Trd:30 | Hangfire.Server.Worker | Background process 'Worker #2eef5dba' stopped. | 
2025-08-19 14:15:28.0908 | TRACE | Trd:19 | Hangfire.Server.Worker | Background process 'Worker #73eadc94' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.0934 | DEBUG | Trd:19 | Hangfire.Server.Worker | Background process 'Worker #73eadc94' stopped. | 
2025-08-19 14:15:28.0908 | DEBUG | Trd:20 | Hangfire.Server.Worker | Background process 'Worker #d297749a' stopped. | 
2025-08-19 14:15:28.0908 | TRACE | Trd:28 | Hangfire.Server.Worker | Background process 'Worker #d6a32232' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.1604 | DEBUG | Trd:28 | Hangfire.Server.Worker | Background process 'Worker #d6a32232' stopped. | 
2025-08-19 14:15:28.1604 | TRACE | Trd:27 | Hangfire.Server.Worker | Background process 'Worker #e999c551' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.1604 | DEBUG | Trd:27 | Hangfire.Server.Worker | Background process 'Worker #e999c551' stopped. | 
2025-08-19 14:15:28.1604 | TRACE | Trd:22 | Hangfire.Server.Worker | Background process 'Worker #24f08859' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.1604 | DEBUG | Trd:22 | Hangfire.Server.Worker | Background process 'Worker #24f08859' stopped. | 
2025-08-19 14:15:28.1604 | TRACE | Trd:25 | Hangfire.Server.Worker | Background process 'Worker #34b5d1c0' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.1604 | DEBUG | Trd:25 | Hangfire.Server.Worker | Background process 'Worker #34b5d1c0' stopped. | 
2025-08-19 14:15:28.1604 | TRACE | Trd:29 | Hangfire.Server.Worker | Background process 'Worker #7a447503' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.1604 | DEBUG | Trd:29 | Hangfire.Server.Worker | Background process 'Worker #7a447503' stopped. | 
2025-08-19 14:15:28.0934 | TRACE | Trd:36 | Hangfire.Server.Worker | Background process 'Worker #702a75d6' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.1800 | DEBUG | Trd:36 | Hangfire.Server.Worker | Background process 'Worker #702a75d6' stopped. | 
2025-08-19 14:15:28.1800 | TRACE | Trd:32 | Hangfire.Server.Worker | Background process 'Worker #fafdcaff' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.1800 | DEBUG | Trd:32 | Hangfire.Server.Worker | Background process 'Worker #fafdcaff' stopped. | 
2025-08-19 14:15:28.2117 | TRACE | Trd:26 | Hangfire.Server.Worker | Background process 'Worker #9bf6cf3b' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.2117 | DEBUG | Trd:26 | Hangfire.Server.Worker | Background process 'Worker #9bf6cf3b' stopped. | 
2025-08-19 14:15:28.0934 | TRACE | Trd:35 | Hangfire.Server.Worker | Background process 'Worker #b0a5c3a6' was stopped due to a shutdown request. | 
2025-08-19 14:15:28.2117 | DEBUG | Trd:35 | Hangfire.Server.Worker | Background process 'Worker #b0a5c3a6' stopped. | 
2025-08-19 14:15:28.2540 | DEBUG | Trd:8 | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' stopped. | 
2025-08-19 14:15:28.2540 | INFO | Trd:11 | Hangfire.BackgroundJobServer | Hangfire Server stopped. | 
2025-08-19 14:15:56.5057 | INFO | Trd:1 | Hangfire.SqlServer.SqlServerStorage | Start installing Hangfire SQL objects... | 
2025-08-19 14:15:56.6599 | INFO | Trd:1 | Hangfire.SqlServer.SqlServerStorage | Hangfire SQL objects installed. | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer | Starting Hangfire Server | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer | Using job storage: 'SQL Server: localhost\SQLEXPRESS@HecDatabase' | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer | Using the following options for SQL Server job storage: | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer |     Queue poll interval: 00:00:15. | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer |     Worker count: 20 | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer |     Listening queues: 'default' | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 | 
2025-08-19 14:15:56.6750 | INFO | Trd:1 | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 | 
2025-08-19 14:15:56.7011 | DEBUG | Trd:8 | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. | 
2025-08-19 14:15:56.9275 | DEBUG | Trd:9 | Hangfire.Server.ServerHeartbeat | Background process 'ServerHeartbeat' started. | 
2025-08-19 14:15:56.9275 | DEBUG | Trd:10 | Hangfire.Server.ServerWatchdog | Background process 'ServerWatchdog' started. | 
2025-08-19 14:15:56.9415 | DEBUG | Trd:11 | Hangfire.SqlServer.ExpirationManager | Background process 'Hangfire.SqlServer.ExpirationManager' started. | 
2025-08-19 14:15:56.9548 | DEBUG | Trd:12 | Hangfire.SqlServer.CountersAggregator | Background process 'Hangfire.SqlServer.CountersAggregator' started. | 
2025-08-19 14:15:56.9950 | DEBUG | Trd:13 | Hangfire.Server.Worker | Background process 'Worker #d201e314' started. | 
2025-08-19 14:15:56.9950 | DEBUG | Trd:11 | Hangfire.SqlServer.ExpirationManager | Removing outdated records from the 'AggregatedCounter' table... | 
2025-08-19 14:15:57.0025 | DEBUG | Trd:14 | Hangfire.Server.Worker | Background process 'Worker #19470643' started. | 
2025-08-19 14:15:57.0025 | DEBUG | Trd:12 | Hangfire.SqlServer.CountersAggregator | Aggregating records in 'Counter' table... | 
2025-08-19 14:15:57.0265 | DEBUG | Trd:15 | Hangfire.Server.Worker | Background process 'Worker #ade257e0' started. | 
2025-08-19 14:15:57.0332 | DEBUG | Trd:16 | Hangfire.Server.Worker | Background process 'Worker #73eb8708' started. | 
2025-08-19 14:15:57.0332 | DEBUG | Trd:17 | Hangfire.Server.Worker | Background process 'Worker #b94ca8c3' started. | 
2025-08-19 14:15:57.0735 | DEBUG | Trd:18 | Hangfire.Server.Worker | Background process 'Worker #95a5d36d' started. | 
2025-08-19 14:15:57.0806 | TRACE | Trd:11 | Hangfire.SqlServer.ExpirationManager | Outdated records removed from the 'AggregatedCounter' table. | 
2025-08-19 14:15:57.0806 | DEBUG | Trd:11 | Hangfire.SqlServer.ExpirationManager | Removing outdated records from the 'Job' table... | 
2025-08-19 14:15:57.0806 | TRACE | Trd:12 | Hangfire.SqlServer.CountersAggregator | Records from the 'Counter' table aggregated. | 
